Virtual Poster No	Abstract Title	Presenter First Name	Presenter Last Name	Submitter Institution	Parent Category	Primary Category
1451	Neonatal functional brain atlases using a two-level group-wise functional parcellation framework	Jingyue	Zhang	Beijing Normal University	Modeling and Analysis Methods	Segmentation and Parcellation
1452	The signal in the noise: modelling site variation across surface-based and volumetric image features	H.	Huijsdens	Donders Institute for Brain, Cognition and Behaviour	Modeling and Analysis Methods	Bayesian Modeling
1453	Informing intrinsic effective connectivity during task fMRI using resting state DCM estimates	Hannes	Almgren	Ghent University	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1454	Topographic patterns of connectivity between amygdala and striatum.	Izabela	Przezdzik	Donders Institute	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1456	EEG Spectral Disparity of Breath Awareness and Body Scan among Novice Mindfulness Practitioners	Changwei	Wu	Taipei Medical University	Modeling and Analysis Methods	EEG/MEG Modeling and Analysis
1457	Revisiting correlation-based functional connectivity to compare brain anatomy and function	Raphael	Liegeois	École Polytechnique Fédérale de Lausanne	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1458	Analysing linear transformations between pairs of multivariate patterns in fMRI	Alessio	Basti	University of Chieti-Pescara	Modeling and Analysis Methods	Multivariate Approaches
1459	Resting State fMRI Based Multilayer Network Configuration in Patients with Schizophrenia	George	Gifford	Institute of Psychiatry, Psychology, and Neuroscience	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1460	Predicting selective manipulation of specific functional connections using local brain stimulation	Leonardo	Gollo	Monash University	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1461	EGFR mutation status prediction using radiomics of brain metastasis of the contrast-enhanced T1 MRI	Hyeokjin	Kwon	Dept of Biomedical engineering. Hanyang Univ. Seoul. Korea, Republc of	Modeling and Analysis Methods	Classification and Predictive Modeling
1462	An Empirical Investigation of the Benefit of Increasing the Temporal Sampling Rate of fMRI Data	Virág	Darányi	Brain Imaging Centre, Research Centre for Natural Sciences	Modeling and Analysis Methods	Activation (eg. BOLD task-fMRI)
1463	The ARIbrain package: Flexible cluster inference of fMRI data with full family-wise error control	Wouter	Weeda	Leiden University	Modeling and Analysis Methods	Methods Development
1464	A powerful solution with full FWER control to the problem of sequential analyses of open datasets	Wouter	Weeda	Leiden University	Modeling and Analysis Methods	Methods Development
1465	Naturally occurring sleep loss and amygdala functional connectivity following psychosocial stress	Jonathan	Nowak	Charité - Universtitätsmedizin Berlin	Modeling and Analysis Methods	Task-Independent and Resting-State Analysis
1466	Linear Mapping of Cortico-Cortico Resting-State Functional Connectivity	Kristian	Eschenburg	University of Washington	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1467	Implications of handedness on language brain lateralization in early bilinguals	Maite	Termenon	BCBL	Modeling and Analysis Methods	Activation (eg. BOLD task-fMRI)
1468	Quantifying cycle-specific oscillatory waveform shapes	Andrew	Quinn	University of Oxford	Modeling and Analysis Methods	EEG/MEG Modeling and Analysis
1469	A Dual-projection MRI Data Denoising Method Based on ICA and Regression	Yuxing	Hao	Dalian University of Technology	Modeling and Analysis Methods	Methods Development
1471	Connectivity-based parcellation discloses the topographical organization of the globus pallidus	Salvatore	Bertino	University of Messina	Neuroanatomy, Physiology, Metabolism and Neurotransmission	Segmentation and Parcellation
1472	Detecting Clinically Variable Tissue Injuries in Neonatal MRI	Russell	Macleod	King's College London	Modeling and Analysis Methods	Classification and Predictive Modeling
1473	The Structural Basis of Individual Differences in Brain Functional Connectivity	Lianglong	Sun	Beijing Normal University	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1474	Hemispheric specialization of the inferior parietal lobe across key cognitive domains	Ole	Numssen	Max Planck Institute for Human Cognitive and Brain Sciences	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1475	The impact of habitual coffee intake in stress and resting-state networks	Maria	Picó-Pérez	Life and Health Sciences Research Institute (ICVS)	Modeling and Analysis Methods	Task-Independent and Resting-State Analysis
1476	Functional Connectivities Mediate the Essential Hypertension History to Prospective Memory	RUIQING	FENG	The University of Warwick	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1477	Cluster-based analysis of diffusion MRI tractography measures in Huntington’s disease	Viviana	Siless	MGH/Harvard Medical School	Modeling and Analysis Methods	Diffusion MRI Modeling and Analysis
1478	Predicting individual differences in mathematical ability with functional connectivity	Dai	Zhang	Beijing normal university	Modeling and Analysis Methods	Classification and Predictive Modeling
1479	Alpha peak frequency changes along spatial gradients in oscillatory brain networks.	Andrew	Quinn	University of Oxford	Modeling and Analysis Methods	EEG/MEG Modeling and Analysis
1480	Enrichment of data analytics by whole-brain computational models	Oleksandr	Popovych	Research Centre Juelich	Modeling and Analysis Methods	Methods Development
1481	Towards holistic neural encoding models for multimodal naturalistic stimuli	Meenakshi	Khosla	Cornell University	Modeling and Analysis Methods	Classification and Predictive Modeling
1482	Understanding deep learning-based brain age predictions	Simon	Hofmann	Max Planck Institute for Human Cognitive and Brain Sciences	Modeling and Analysis Methods	Classification and Predictive Modeling
1483	The sound of resting-state fMRI	Thomas	Bolton	Ecole Polytechnique Fédérale de Lausanne	Modeling and Analysis Methods	Other Methods
1484	Modelling cortical layer connectivity in the macaque brain	Ittai	Shamir	Tel Aviv University	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1485	3D-printed phantom for diffusion MRI model validation	Michael	Woletz	Medical University of Vienna	Modeling and Analysis Methods	Diffusion MRI Modeling and Analysis
1486	MEG functional connectivity and topology changes distinguish between voluntary hand and foot	Viviana	Betti	Sapienza, University of Rome	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1487	The R1- weighted connectome: complementing brain networks with a myelin-sensitive measure	Tommy	Boshkovski	NeuroPoly Lab, Polytechnique Montreal	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1488	Assessment of fMRI Preprocessing Pipelines using Multiple Quality Control Metrics	Michalis	Kassinopoulos	McGill University	Modeling and Analysis Methods	Motion Correction and Preprocessing
1489	Probability to Detect an N2pc ERP Component in Individual EEG Datasets	Francesca	Marturano	University of Padova	Modeling and Analysis Methods	EEG/MEG Modeling and Analysis
1490	PaLOS index: a metric to detect removal of brain signals with artifact correction	Shiang	Hu	UESTC	Modeling and Analysis Methods	Exploratory Modeling and Artifact Removal
1491	Targeting in the neurosurgical treatment of tremor: a connectivity study of Vim variability	Francisca	Ferreira	University College London	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1492	Macapype: An open multi-software framework for non-human primate anatomical MRI processing	Bastien	Cagna	Institut des Neurosciences de la Timone, Aix-Marseille Université	Modeling and Analysis Methods	Segmentation and Parcellation
1493	Modeling neurophysiological brain activity for individual subjects	Shanna	Kulik	Amsterdam University Medical Center	Modeling and Analysis Methods	EEG/MEG Modeling and Analysis
1494	Using the Free-energy Principle to Understand Neurofeedback Self-regulation learning	David	Araya	Universidad de Valparaiso	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1495	Pursuing an alternative to ICA for improved removal of non-stationary contamination in EEG data	Daniel	Correa Tucunduva	Bishop's University	Modeling and Analysis Methods	EEG/MEG Modeling and Analysis
1496	Altered structural covariance of the striatum in lifelong premature ejaculation patients	peng	liu	xidian university	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1497	Microstructural changes in the penumbra of cerebral small vessel disease lesions	Maged	Goubran	Sunnybrook Research Institute	Modeling and Analysis Methods	Diffusion MRI Modeling and Analysis
1498	Does global signal regression remove alpha power fluctuations? An EEG-fMRI study in humans at rest	Michalis	Kassinopoulos	McGill University	Modeling and Analysis Methods	fMRI Connectivity and Network Modeling
1499	S-ADU-net: Spatial-guided Attention Dense U-net for 6-month infant brain segmentation	Zilong	Zeng	State Key Laboratory of Cognitive Neuroscience and Learning, Beijing Normal University	Modeling and Analysis Methods	Segmentation and Parcellation
1500	Relationship between Clinical Parameters and Corpus Callosum Volume in Multiple Sclerosis	Anna Christiany Brandão	Nascimento	UNIRIO-Universidade Federal do Rio de Janeiro	Modeling and Analysis Methods	Segmentation and Parcellation
1501	Hippocampal Formation Under Resting-State Conditions	Michelle	Liou	Academia Sinica	Modeling and Analysis Methods	Methods Development
1502	A NPE-mutated method to strengthen outcomes of ICA on both individual and group level fMRI data	Wei	Zhao	Dalian University of Technology	Modeling and Analysis Methods	Methods Development
1503	Automatic Quality Control of Electroencephalographic (EEG) Lead Field for big datasets	Usama	Riaz	University of Electronics Science and Technology of China	Modeling and Analysis Methods	EEG/MEG Modeling and Analysis
1504	Neural Spatial Working Memory Changes During Spaceflight	Ana Paula	Salazar	University of Florida	Modeling and Analysis Methods	Activation (eg. BOLD task-fMRI)
1505	Functional organization of the hippocampus on its anteroposterior axis during childhood	Antoine	Bouyeure	UNIACT, CEA-NeuroSpin, Université Paris-Saclay	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1506	Prediction loss aversion with topological metrics	Diego	Angeles-Valdez	Universidad Nacional Autónoma de México	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1507	A sub+cortical fMRI-based surface parcellation	John	Lewis	Montreal Neurological Institute, McGill University	Modeling and Analysis Methods	Segmentation and Parcellation
1508	Multilayer Brain Network Dynamics in Autism Spectrum Disorders: A Multi-Site fMRI Study	Yapei	Xie	Beijing Normal University	Modeling and Analysis Methods	Connectivity (eg. functional, effective, structural)
1509	ICA-based denoising strategies in highly motion correlated tasks with Multi Echo BOLD fMRI	Stefano	Moia	Basque Center on Cognition, Brain and Language	Modeling and Analysis Methods	Motion Correction and Preprocessing
